Strain,Type,Rating,Effects,Flavor,Description
Albert-Walker,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Earthy,Mango,Blueberry","Albert Walker is an indica-dominant hybrid with unknown origins, but is thought to have descended from Afghan Skunk and bred in the Pacific Northwest. Evidence of its lineage is found in its sour lemon and skunky smell and heavy full-body effects that can last for several hours. Albert Walker’s euphoric and relaxing qualities make it a go-to strain for patients treating depression and anxiety, and may also have benefits for chronic pain and appetite loss. This clone-only strain may come as a challenge for some growers as the plants tend to require frequent attention and maintenance. However, the high yields following its 8-week flowering cycle could be considered a satisfactory reward."
Alchemy,hybrid,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Tingly","Cheese,Sweet,Spicy/Herbal","Alchemy is a 50/50 hybrid cannabis strain that was conjured by combining Chemdawg and Querkle. This creation from TGA Genetics comes wreathed in purple fan leaves and lavender-tipped buds. With an aroma of sour grapes and earthy musk, Alchemy delivers a balance of relaxing body effects and engaged cerebral invigoration. Boasting high levels of THC, Alchemy is sure to restore both your mood and appetite."
Alf,hybrid,5,"Relaxed,Creative,Euphoric,Giggly,Happy","Diesel,Tropical,Pungent","The indica-dominant hybrid Alf was created by crossing Animal Pie (an Animal Cookies and Cherry Pie hybrid) and Black Raven (White Fire Alien OG x ’09 Cookies) from The Captain’s Connection. With dessert-like notes of cookies and sour cherry, Alf’s aroma is as enticing as its purple crystal-coated buds. Patients seeking relief from pain, spasms, nausea, and appetite may want to give this relaxing hybrid a try."
Alice-In-Wonderland,sativa,4.5,"Focused,Euphoric,Happy,Uplifted,Relaxed","Pine,Mint,Sweet","Alice in Wonderland is a mostly sativa strain with euphoric cerebral effects. It provides an elevated sensory experience, making it a favorite strain for creative pastimes, outdoor activities, a laid-back weekend, or daytime stress relief. Said to be a descendant of Willy’s Wonder, Alice in Wonderland has many therapeutic qualities, especially for those suffering from anxiety or depression."
Alien-Abduction,hybrid,3.8,"Happy,Relaxed,Focused,Uplifted,Creative","Earthy,Nutty,Sweet","Alien Abduction is an OG Kush hybrid bred by So-Cal medical collective Ocean Grown Genetics, who crossed an Alien OG male with the Ether cut of Alien Dawg. These seeds have been highly sought after by growers, as they are known to have great germination rates and multiple excellent phenotypes, all of which are robust and vigorous plants. Most phenotypes exhibit typical OG Kush smells and flavors, and pack a high-THC punch that combines a potent head buzz with a strongly sedating body high. For many patients, Alien Abduction is a great appetite stimulant and sleep aid."
Alien-Apparition,hybrid,4,"Hungry,Energetic,Euphoric,Aroused,Tingly","Sweet,Pungent,Skunk","Alien Apparition is a cleverly named cross from Franchise Genetics. This spectral anomaly is brought to the material sphere with the help of a Ghost/Natural Born Killer hybrid and Alien Technology. Known for its happy, relaxing qualities, Alien Apparition combines the OG Kush-like elements of Ghost OG and Alien Technology’s euphoric sedation to create a potent hybrid best suited to afternoon consumption. Enjoy this strain to enhance mood and subdue general aches and pains.   "
Alien-Asshat,hybrid,4.8,"Euphoric,Creative,Giggly,Relaxed,Happy","Pungent,Citrus,Earthy","Alien Asshat is a hybrid cannabis strain grown by Sky High Gardens in Washington. With a staggeringly high THC content, Alien Asshat launches you into the cosmos with a powerful euphoric blast. Its buds are a tangle of green calyxes and leaves wrapped in a constellation of shining crystal resin. If you’re new to cannabis, be sure to start small with this heavy-hitter."
Alien-Bubba,indica,5,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Woody,Sweet","Alien Bubba is the intergalactic cross of the renowned Bubba Kush and the heady space invader, Alien Kush. This two-fold Kush blend offers mellow sedation with a mental aura most would describe as introspective or meditative. Its bouquet is earthy and floral, and when combusted, Alien Bubba shows off a pungent tea and herbaceous grassiness that is smooth on the exhale. Enjoy this heady heavy-hitter close to the end of the day to maximize its sedative effects.   "
Alien-Dawg,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Woody","Descending from Northern California and Afghanistan genetics, Alien Dawg is a cross between Chemdawg and Alien Technology with a THC content of up to 20%. With a sour and pungent odor, Alien Dawg has a light, bitter taste and presents brilliant mind and body effects."
Alien-Dutchess,sativa,4.2,"Euphoric,Relaxed,Uplifted,Focused,Happy","Sweet,Berry,Blueberry","Alien Dutchess by Cresco Labs brings together strong euphoria and deep relaxation to create a strain that is as potent as it is refined. Created by crossing Dutch Treat Haze and Alien OG, this strain exhibits a spicy, herbaceous aroma with hints of pine and lemon. The earthy and citrus notes shine through upon consumption. Alien Dutchess has been known to stimulate appetite and help abate nausea, headaches, and stress."
Alien-Hallucination,hybrid,4.1,"Happy,Relaxed,Giggly,Aroused,Hungry","Sweet,Earthy,Diesel","Alien Hallucination is a hybrid cannabis strain that is believed to be a cross between the sedating Tahoe Alien and LSD, a classic Amsterdam hybrid known for its trippy head buzz. Bred by Alien Genetics, this strain will abduct the mind while your body remains anchored in deep physical relaxation."
Alien-Inferno,hybrid,4.8,"Happy,Talkative,Euphoric,Uplifted,Energetic","Pine,Diesel,Earthy","Using a White Fire #6 and Alien OG hybrid and crossing it again with Diablo, LivWell created Alien Inferno. Rock solid buds slathered in trichomes and red pistils, Alien Inferno is a heavy-handed OG hybrid that can help relieve pain, boost creativity, and help you unwind. With the taste of earth, pine, and lemon, this potent indica-dominant hybrid will take care of even the most experienced connoisseur."
Alien-Kush,indica,4.2,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Earthy,Woody,Flowery","Alien Kush is a potent cross of LVPK and Alien Dawg that originally hails from California, not deep space. It may have you feeling a little spacey, though, as this mostly indica hybrid touches down in the brain first, giving active, sometimes-psychedelic effects that are more traditionally sativa. The active buzz settles over time into a relaxing body buzz that will dissolve both stress and pain. Alien Kush plants have average yields, but they are hardy, easy-to-grow plants, indoors or out. The light green buds have a covering of red or orange hairs and should be airy. This strain has a piney smell, but the taste is a subtle spiciness that is reminiscent of tea."
Alien-Og,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Creative","Earthy,Lemon,Citrus","First available as a clone in California’s Bay Area and now in seed form from Cali Connection, Alien OG is a cross of Tahoe OG and Alien Kush. One of the most potent strains available today, this indica-dominant hybrid has tested as high as 28% THC. Alien OG has the typical lemon-pine “OG” smell and flavor, and an intense high that combines heavy indica body effects and a psychedelic cerebral buzz. Beginners and novices, be sure to take it slow with this heavy-hitter."
Alien-Reunion,hybrid,4.9,"Euphoric,Uplifted,Happy,Relaxed,Talkative","Pungent,Skunk,Cheese","Alien Reunion is an indica-dominant cross of Alien OG and Alien Dawg bred by Cannobi Genetics. Its dense colas emit a pungent mix of flavors that include sweet fruity tones of cherry and lemon combined with a skunky, diesel note. The relaxing effects of Alien Reunion calm the body while stimulating the mind with an energetic and creative rush that helps you stay productive without feeling sluggish."
Alien-Rift,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Grape,Earthy,Chemical","Alien Rift by Ocean Grown Seeds is the thoroughly enhanced phenotype of Alien Abduction specifically backcrossed for better hash production. With a tart scent of lemon and spice and buds dense with trichomes, Alien Rift is certain to please the senses. This strain is the product of crossing Alien Abduction, Alien Dawg ('Ether' cut), and Alien OG. With that much extraterrestrial activity, you know this indica is out of this world! Use Alien Rift’s laidback effects to curb stress and moderate physical pain. "
Alien-Rock-Candy,hybrid,4.7,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Sweet,Citrus,Earthy","Alien Rock Candy by Alien Genetics is an indica-dominant hybrid with an aroma as sweet as the name suggests. This Sour Dubble and Tahoe Alien cross captures a fruity, citrus aroma that carries through until the exhale. Full relaxation of the mind and body make this strain ideal for the end of an active or stressful day, with a heaviness that segueways nicely into sleep. The effects may take a few minutes to peak, but Alien Rock Candy packs a powerful euphoric punch once it sets in. A good choice for both novice and expert growers alike, Alien Rock Candy finishes around 8 weeks into its flowering cycle. "
Alien-Sour-Apple,hybrid,4.6,"Euphoric,Relaxed,Uplifted,Creative,Happy","Sweet,Lemon,Apple","Alien Sour Apple is a sativa-dominant hybrid that mixes the genetics of Alien Dawg with Sour Apple. Bred by Franchise Genetics, Alien Sour Apple tastes sweet and sour, like a Granny Smith apple. Its heady sativa effects provide a lift of energy and incite an optimistic sense of euphoria."
Alien-Stardawg,sativa,4.4,"Uplifted,Happy,Euphoric,Creative,Tingly","Diesel,Spicy/Herbal,Sage","Alien Stardawg is a sativa-dominant hybrid cross of Alien Kush and Stardawg bred by Green Beanz Seeds. Stretchy plants produce large yields of frosty green, red, blue, and purple colored buds with pleasing cherry hash and chem-fuel flavors and a potent well-rounded high.  "
Alien-Technology,indica,4.5,"Happy,Relaxed,Uplifted,Euphoric,Focused","Earthy,Spicy/Herbal,Woody","Very little is known about Alien Technology other than it is a landrace strain selected from a handful of seeds acquired by breeder OBSoul33t from a US soldier returning from Afghanistan. It is a pure indica that features light green buds, incredible trichome production, and a spicy, hashy flavor/aroma with fuel undertones. Reports indicate that the high is more stimulating than your typical indica, while lasting as long as 6 hours. Alien Technology has been used in breeding some of today’s most potent hybrids such as Alien Dawg and Alien Kush."
Aliens-On-Moonshine,indica,4.5,"Relaxed,Happy,Talkative,Uplifted,Giggly","Citrus,Sage,Grapefruit","Aliens On Moonshine by Sin City Seeds is a potent CBD-rich phenotype of The Cali Connection’s Sour Alien crossed with White Moonshine. This indica-dominant strain emits a funky aroma that is a clashing of sour, sweet, and chemicals. The 5:1 CBD/THC ratio gives Aliens On Moonshine potent medicinal properties while remaining mostly functional. Its effects land firmly in the body and can assist with inflammation, irritability, and minor physical discomfort. The uplifting, clearheaded buzz and soothing physical effects make Aliens On Moonshine an excellent add-in or standalone strain for CBD lovers everywhere.    "
